Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_hist,stoch_k,stoch_d,williams_r,cci,tsi,roc1,roc5,roc10,roc20,ma50,ma200,adx,atr,volatility,vol_ratio,bb_squeeze,bb_upper,bb_lower,bb_position,keltner_pos,volume_ma,volume_ratio,obv,cmf,price_change,price_momentum,return_autocorr,gap,intraday_range,consec_days,price_zscore,vwap_dev,rsi_lag5,adx_lag5,volatility_lag5,macd_lag5,stoch_k_lag5,is_uptrend,is_bull_regime,ml_signal,ml_proba,mr_signal,mom_signal,regime,is_bull,ann_vol,combined_signal,position_sizes,portfolio_bh,portfolio_mr,portfolio_mom,portfolio_ml,portfolio_comb
2021-04-01,915.0242884490824,920.465429845356,908.290775524704,916.7699584960938,11723312.0,,0.0,0.0,0.0,50.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,,,0.0,0.0,0.013279944666406533,0.0,0.0,0.0,,,,,,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-05,918.1756272004716,918.198295125252,889.677488179083,903.5071411132812,14875099.0,,-1.0580025262643176,-0.21160050525286353,-0.846402021011454,50.0,50.0,-50.0,0.0,-100.0,-0.01446689789505029,0.0,0.0,0.0,,,13.333333333333334,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,-0.01446689789505029,,0.0,0.0015332839949115987,0.03156677534504746,-1.0,0.0,0.0,,,,,,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-06,908.6762538058488,909.107004338236,892.8061280725167,899.74365234375,14009194.0,,-2.1750862019466695,-0.6042976445916248,-1.5707885573550446,50.0,50.0,-50.0,0.0,-100.0,-0.004165422273136654,0.0,0.0,0.0,,,24.888888888888893,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,-0.004165422273136654,,0.0,0.005721164180504715,0.018117245087817025,-2.0,0.0,0.0,,,,,,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-07,906.8625944881164,928.1285275370888,903.8246126194148,908.1548461914062,24266353.0,,-2.3545284762215033,-0.9543438109176006,-1.4001846653039027,50.0,50.0,-50.0,0.0,-98.58057352859153,0.009348433663017186,0.0,0.0,0.0,,,23.606954121521735,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,0.009348433663017186,,0.0,0.007912189350624741,0.026761862274477796,1.0,0.0,0.0,,,,,,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-08,911.85028647344,916.8380096725808,903.6885139889864,909.2883911132812,15369188.0,,-2.377859683367319,-1.2390469854075443,-1.1388126979597748,50.0,50.0,-50.0,0.0,-97.23137530611648,0.0012481846313201483,0.0,0.0,0.0,,,22.42315443718272,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,0.0012481846313201483,,0.0,0.004069174213551282,0.014461303819676958,2.0,0.0,0.0,,,,,,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-09,906.1597285641936,909.7418004729616,897.7938848658578,898.7234497070312,14037885.0,,-3.2118283517622785,-1.6336032586784912,-1.5782250930837873,50.0,50.0,-50.0,0.0,-96.15128535588006,-0.01161891156810535,-0.019684882365328282,0.0,0.0,,,20.39714927504104,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,-0.01161891156810535,-0.019684882365328282,0.0,-0.0034407813622882068,0.013294318303365337,-1.0,0.0,0.0,,0.0,,0.0,50.0,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-12,888.271878488836,889.3601188333347,861.632807894605,866.5751953125,20901482.0,,-6.393153689222231,-2.5855133447872394,-3.8076403444349918,50.0,50.0,-50.0,0.0,-95.39326915724237,-0.0357710198893898,-0.040876207968068234,0.0,0.0,,,25.757597941592234,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,-0.0357710198893898,-0.040876207968068234,0.0,-0.011629351856349428,0.031996428110004735,-2.0,0.0,0.0,,13.333333333333334,,-1.0580025262643176,50.0,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-13,872.4017415275625,879.9287521472845,869.6131669055775,875.9385375976562,19411189.0,,-8.065855310476422,-3.681581737925076,-4.384273572551346,50.0,50.0,-50.0,0.0,-93.20313622919925,0.010804996884061113,-0.02645766345123257,0.0,0.0,,,30.40332011926993,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,0.010804996884061113,-0.02645766345123257,0.0,0.0067236475802442,0.011776608516390303,1.0,0.0,0.0,,24.888888888888893,,-2.1750862019466695,50.0,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-15,873.4446120904353,889.1786704861084,867.4139846330557,881.6063842773438,19723716.0,,-8.83232202720501,-4.711729795781063,-4.120592231423946,50.0,50.0,-50.0,0.0,-90.50111277460715,0.006470598605276656,-0.02923340884586001,0.0,0.0,,,30.921496584142435,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,0.006470598605276656,-0.02923340884586001,0.0,-0.002847146689151049,0.024687532033803607,2.0,0.0,0.0,,23.606954121521735,,-2.3545284762215033,50.0,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-16,878.1149969863354,884.1456245317884,873.5126286216039,876.0745239257812,15656948.0,,-9.773464901379839,-5.724076816900818,-4.049388084479021,50.0,50.0,-50.0,0.0,-88.37329511947004,-0.006274750784724614,-0.036527319068524355,0.0,0.0,,,31.370582853698608,,,1.0,0.0,,,0.5,0.5,,,1.0,0.0,-0.006274750784724614,-0.036527319068524355,0.0,-0.003960256360745648,0.012137090646737366,-1.0,0.0,0.0,,22.42315443718272,,-2.377859683367319,50.0,0,0,,,,,BEAR_LOW_VOL,0,,,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
